GenericName	SideeffectTerm	FrequencyRatingValue	
retigabine	chromaturia	4
retigabine	somnolence	5
retigabine	paraesthesia	4
retigabine	constipation	4
retigabine	feeling abnormal	4
retigabine	osteoarthritis	4
retigabine	anxiety	4
retigabine	coordination abnormal	4
retigabine	disturbance in attention	4
retigabine	balance disorder	4
retigabine	diplopia	4
retigabine	psychotic disorder	4
retigabine	confusional state	4
retigabine	weight increased	4
retigabine	haematuria	4
retigabine	vertigo	4
retigabine	influenza	4
retigabine	aphasia	4
retigabine	dizziness	5
retigabine	dysarthria	4
retigabine	memory impairment	4
retigabine	amnesia	4
retigabine	vision blurred	4
retigabine	nausea	4
retigabine	tremor	4
retigabine	urinary hesitation	4
retigabine	fatigue	5
retigabine	dyspepsia	4
retigabine	dysuria	4
levetiracetam	aggression	5
levetiracetam	asthenia	5
levetiracetam	decreased appetite	4
levetiracetam	viral infection	4
levetiracetam	somnolence	4
levetiracetam	paraesthesia	4
levetiracetam	nasal congestion	4
levetiracetam	constipation	4
levetiracetam	feeling abnormal	4
levetiracetam	pharyngitis	4
levetiracetam	anxiety	4
levetiracetam	coordination abnormal	4
levetiracetam	disturbance in attention	4
levetiracetam	hostility	4
levetiracetam	chest pain	4
levetiracetam	nasopharyngitis	5
levetiracetam	urine analysis abnormal	4
levetiracetam	balance disorder	4
levetiracetam	sinusitis	4
levetiracetam	diplopia	4
levetiracetam	rhinitis	4
levetiracetam	ecchymosis	4
levetiracetam	personality disorder	4
levetiracetam	laryngeal pain	4
levetiracetam	psychotic disorder	4
levetiracetam	diarrhoea	4
levetiracetam	rash pustular	4
levetiracetam	confusional state	4
levetiracetam	cough	4
levetiracetam	gastroenteritis	4
levetiracetam	skin discolouration	4
levetiracetam	myalgia	4
levetiracetam	gingivitis	4
levetiracetam	pain	4
levetiracetam	weight increased	4
levetiracetam	lethargy	4
levetiracetam	mental disability	4
levetiracetam	ligament sprain	4
levetiracetam	ear pain	4
levetiracetam	dehydration	4
levetiracetam	dermatitis bullous	4
levetiracetam	amblyopia	4
levetiracetam	albuminuria	4
levetiracetam	vertigo	4
levetiracetam	otitis media	4
levetiracetam	influenza	4
levetiracetam	conjunctivitis	4
levetiracetam	injury	5
levetiracetam	abdominal pain upper	4
levetiracetam	headache	5
levetiracetam	gastrointestinal disorder	4
levetiracetam	dizziness	4
levetiracetam	thrombocytopenia	4
levetiracetam	asthma	4
levetiracetam	memory impairment	4
levetiracetam	amnesia	4
levetiracetam	thinking abnormal	4
levetiracetam	affect lability	4
levetiracetam	agitation	4
levetiracetam	eczema	4
levetiracetam	depressed mood	4
levetiracetam	hyperreflexia	4
levetiracetam	nervousness	4
levetiracetam	vision blurred	4
levetiracetam	nausea	4
levetiracetam	neck pain	4
levetiracetam	depression	4
levetiracetam	face oedema	4
levetiracetam	infection	5
levetiracetam	hypersomnia	4
levetiracetam	tension	4
levetiracetam	fatigue	5
levetiracetam	arthralgia	4
levetiracetam	irritability	4
levetiracetam	tooth disorder	4
levetiracetam	abnormal behaviour	4
levetiracetam	urine abnormality	4
levetiracetam	contusion	4
levetiracetam	mood swings	4
levetiracetam	ataxia	4
levetiracetam	musculoskeletal discomfort	4
levetiracetam	pruritus	4
azelaic.acid	dry skin	4
azelaic.acid	paraesthesia	4
azelaic.acid	erythema	4
azelaic.acid	oedema	4
azelaic.acid	pain	4
azelaic.acid	dermatitis contact	4
azelaic.acid	acne	4
azelaic.acid	pruritus	4
azelastine	asthenia	4
azelastine	somnolence	4
azelastine	pharyngitis	4
azelastine	sinusitis	4
azelastine	rhinitis	4
azelastine	sneezing	4
azelastine	weight increased	4
azelastine	upper respiratory tract infection	4
azelastine	dysgeusia	4
azelastine	nasal discomfort	4
azelastine	dizziness	4
azelastine	dry mouth	4
azelastine	nausea	4
azelastine	fatigue	4
azelastine	dysaesthesia	4
azelastine	epistaxis	4
azathioprine	leukopenia	5
azathioprine	colitis	1
azathioprine	pneumonia	1
azathioprine	liver injury	2
azathioprine	stevens-johnson syndrome	1
azathioprine	lymphoma	3
azathioprine	hepatocellular injury	2
azathioprine	aplastic anaemia	2
azathioprine	erythema multiforme	1
azathioprine	diarrhoea	1
azathioprine	pancreatitis	3
azathioprine	non-hodgkin's lymphoma	3
azathioprine	diverticulitis	1
azathioprine	agranulocytosis	2
azathioprine	pancytopenia	2
azathioprine	thrombocytopenia	4
azathioprine	anaemia megaloblastic	2
azathioprine	toxic epidermal necrolysis	1
azathioprine	intestinal perforation	1
azathioprine	infection	5
azathioprine	anaemia	3
azathioprine	alopecia	2
bromazepam	somnolence	5
bromazepam	feeling abnormal	4
bromazepam	confusional state	4
bromazepam	sleep disorder	4
bromazepam	vomiting	4
bromazepam	headache	4
bromazepam	gastrointestinal disorder	4
bromazepam	speech disorder	4
bromazepam	dizziness	4
bromazepam	nausea	4
bromazepam	dyspepsia	4
bromazepam	ataxia	5
aminophylline	disorientation	4
aminophylline	ventricular extrasystoles	5
aminophylline	ventricular arrhythmia	5
aminophylline	haematemesis	4
aminophylline	rhabdomyolysis	4
aminophylline	diarrhoea	4
aminophylline	atrial fibrillation	4
aminophylline	vomiting	5
aminophylline	cardiac flutter	4
aminophylline	supraventricular tachycardia	5
aminophylline	nervousness	5
aminophylline	shock	5
aminophylline	tremor	5
aminophylline	tension	5
aminophylline	hyperglycaemia	5
aminophylline	gastrointestinal pain	5
aminophylline	hypokalaemia	5
aminophylline	sinus tachycardia	5
aminophylline	abdominal pain	5
aminophylline	hypotension	5
medroxyprogesterone	asthenia	4
medroxyprogesterone	breast pain	4
medroxyprogesterone	injection site reaction	4
medroxyprogesterone	dermatitis	4
medroxyprogesterone	hot flush	4
medroxyprogesterone	flatulence	4
medroxyprogesterone	vaginal infection	4
medroxyprogesterone	insomnia	4
medroxyprogesterone	metrorrhagia	4
medroxyprogesterone	oedema	4
medroxyprogesterone	abdominal distension	4
medroxyprogesterone	weight increased	4
medroxyprogesterone	dysmenorrhoea	4
medroxyprogesterone	haemoglobin	4
medroxyprogesterone	headache	5
medroxyprogesterone	dizziness	4
medroxyprogesterone	vaginal discharge	4
medroxyprogesterone	disturbance in sexual arousal	4
medroxyprogesterone	back pain	4
medroxyprogesterone	nervousness	5
medroxyprogesterone	muscle spasms	4
medroxyprogesterone	nausea	4
medroxyprogesterone	depression	4
medroxyprogesterone	acne	4
medroxyprogesterone	tension	5
medroxyprogesterone	discomfort	5
medroxyprogesterone	fatigue	4
medroxyprogesterone	arthralgia	4
medroxyprogesterone	alopecia	4
medroxyprogesterone	menopausal symptoms	4
medroxyprogesterone	amenorrhoea	4
medroxyprogesterone	rash	4
medroxyprogesterone	haemorrhage	4
medroxyprogesterone	musculoskeletal discomfort	4
medroxyprogesterone	libido decreased	4
sodium.oxybate	disorientation	4
sodium.oxybate	asthenia	4
sodium.oxybate	viral infection	4
sodium.oxybate	loss of consciousness	3
sodium.oxybate	paraesthesia	4
sodium.oxybate	feeling abnormal	4
sodium.oxybate	anxiety	4
sodium.oxybate	disturbance in attention	4
sodium.oxybate	urinary incontinence	4
sodium.oxybate	syncope	3
sodium.oxybate	pollakiuria	4
sodium.oxybate	diarrhoea	4
sodium.oxybate	confusional state	4
sodium.oxybate	metrorrhagia	4
sodium.oxybate	pain	4
sodium.oxybate	sleep disorder	4
sodium.oxybate	cystitis	4
sodium.oxybate	haematuria	4
sodium.oxybate	albuminuria	4
sodium.oxybate	somnambulism	4
sodium.oxybate	hyperhidrosis	4
sodium.oxybate	vomiting	4
sodium.oxybate	ageusia	3
sodium.oxybate	pain in extremity	4
sodium.oxybate	headache	5
sodium.oxybate	dizziness	4
sodium.oxybate	muscular weakness	1
sodium.oxybate	enuresis	4
sodium.oxybate	nausea	5
sodium.oxybate	shock	3
sodium.oxybate	tremor	4
sodium.oxybate	infection	4
sodium.oxybate	cystitis noninfective	4
sodium.oxybate	bladder pain	4
sodium.oxybate	oedema peripheral	4
sodium.oxybate	micturition urgency	3
tipranavir	asthenia	4
tipranavir	decreased appetite	4
tipranavir	somnolence	3
tipranavir	feeling abnormal	3
tipranavir	dermatitis	4
tipranavir	renal failure	3
tipranavir	herpes zoster	3
tipranavir	flatulence	4
tipranavir	hepatic steatosis	3
tipranavir	herpes simplex	3
tipranavir	hepatobiliary disease	3
tipranavir	diarrhoea	5
tipranavir	pancreatitis	2
tipranavir	dyspnoea	4
tipranavir	hypersensitivity	3
tipranavir	insomnia	4
tipranavir	lipase increased	3
tipranavir	gastrooesophageal reflux disease	3
tipranavir	renal impairment	3
tipranavir	cough	4
tipranavir	gastroenteritis	1
tipranavir	myalgia	4
tipranavir	neutropenia	4
tipranavir	abdominal distension	4
tipranavir	alanine aminotransferase increased	4
tipranavir	mediastinal disorder	3
tipranavir	diabetes mellitus	3
tipranavir	hyperlipidaemia	4
tipranavir	sleep disorder	3
tipranavir	dehydration	3
tipranavir	hepatitis	3
tipranavir	haemorrhage intracranial	3
tipranavir	ill-defined disorder	3
tipranavir	vomiting	4
tipranavir	blood triglycerides increased	4
tipranavir	amylase increased	4
tipranavir	weight decreased	4
tipranavir	mental disorder	2
tipranavir	abdominal pain upper	4
tipranavir	headache	4
tipranavir	neuropathy peripheral	4
tipranavir	hepatic enzyme increased	3
tipranavir	body temperature increased	4
tipranavir	dizziness	3
tipranavir	thrombocytopenia	3
tipranavir	hepatic failure	2
tipranavir	lipodystrophy acquired	3
tipranavir	gamma-glutamyltransferase increased	3
tipranavir	hypertriglyceridaemia	4
tipranavir	muscle spasms	3
tipranavir	nausea	5
tipranavir	influenza like illness	3
tipranavir	infection	3
tipranavir	discomfort	3
tipranavir	fatigue	4
tipranavir	hyperglycaemia	3
tipranavir	gastrointestinal pain	4
tipranavir	chills	1
tipranavir	anaemia	4
tipranavir	hypercholesterolaemia	3
tipranavir	white blood cell count decreased	4
tipranavir	rash	4
tipranavir	malaise	3
tipranavir	dyspepsia	4
tipranavir	abdominal pain	4
tipranavir	liver function test abnormal	3
tipranavir	hyperbilirubinaemia	2
tipranavir	musculoskeletal discomfort	4
tipranavir	epistaxis	4
tipranavir	aspartate aminotransferase increased	4
tipranavir	pruritus	4
prucalopride	asthenia	4
prucalopride	decreased appetite	3
prucalopride	rectal haemorrhage	4
prucalopride	feeling abnormal	3
prucalopride	pollakiuria	4
prucalopride	flatulence	4
prucalopride	polyuria	4
prucalopride	diarrhoea	4
prucalopride	palpitations	3
prucalopride	urinary tract disorder	4
prucalopride	ill-defined disorder	3
prucalopride	vomiting	4
prucalopride	headache	5
prucalopride	gastrointestinal disorder	3
prucalopride	body temperature increased	3
prucalopride	dizziness	4
prucalopride	urine output increased	4
prucalopride	nervous system disorder	3
prucalopride	nausea	4
prucalopride	tremor	3
prucalopride	urethral disorder	4
prucalopride	discomfort	3
prucalopride	fatigue	4
prucalopride	cardiac disorder	3
prucalopride	gastrointestinal pain	5
prucalopride	malaise	3
prucalopride	dyspepsia	4
prucalopride	abdominal pain	5
tiagabine	asthenia	5
tiagabine	hypokinesia	4
tiagabine	gait disturbance	4
tiagabine	rectal haemorrhage	3
tiagabine	leukopenia	3
tiagabine	breast pain	3
tiagabine	skin cancer	3
tiagabine	movement disorder	3
tiagabine	arthritis	3
tiagabine	hypoglycaemia	3
tiagabine	nodule	3
tiagabine	hyporeflexia	4
tiagabine	hyponatraemia	3
tiagabine	dry skin	4
tiagabine	somnolence	5
tiagabine	depressed level of consciousness	4
tiagabine	loss of consciousness	4
tiagabine	paraesthesia	4
tiagabine	choreoathetosis	3
tiagabine	feeling abnormal	4
tiagabine	osteoarthritis	4
tiagabine	dyskinesia	3
tiagabine	pharyngitis	4
tiagabine	pneumonia	4
tiagabine	hallucination	4
tiagabine	bronchitis	4
tiagabine	disturbance in attention	4
tiagabine	dermatitis	4
tiagabine	hostility	4
tiagabine	chest pain	4
tiagabine	encephalopathy	3
tiagabine	renal failure	3
tiagabine	furuncle	3
tiagabine	laryngitis	4
tiagabine	cholelithiasis	3
tiagabine	neoplasm	3
tiagabine	haemoptysis	4
tiagabine	herpes zoster	3
tiagabine	glossitis	3
tiagabine	abscess	3
tiagabine	parosmia	3
tiagabine	urinary incontinence	4
tiagabine	syncope	4
tiagabine	pollakiuria	3
tiagabine	musculoskeletal stiffness	3
tiagabine	urticaria	3
tiagabine	hypotonia	4
tiagabine	ecchymosis	4
tiagabine	abnormal dreams	3
tiagabine	hyperacusis	3
tiagabine	blindness	3
tiagabine	personality disorder	4
tiagabine	neuritis	3
tiagabine	flat affect	3
tiagabine	polyuria	3
tiagabine	lymphadenopathy	4
tiagabine	herpes simplex	3
tiagabine	gastrointestinal haemorrhage	3
tiagabine	breath odour	3
tiagabine	psychotic disorder	3
tiagabine	myocardial infarction	3
tiagabine	diarrhoea	4
tiagabine	rash pustular	3
tiagabine	otitis externa	3
tiagabine	vaginal infection	4
tiagabine	tachycardia	4
tiagabine	keratitis	3
tiagabine	peripheral vascular disorder	3
tiagabine	palpitations	4
tiagabine	dyspnoea	4
tiagabine	nystagmus	4
tiagabine	hypersensitivity	4
tiagabine	menorrhagia	3
tiagabine	tendinous contracture	3
tiagabine	photophobia	3
tiagabine	insomnia	4
tiagabine	hiccups	4
tiagabine	metrorrhagia	4
tiagabine	oedema	4
tiagabine	thirst	3
tiagabine	cough	4
tiagabine	benign neoplasm of skin	3
tiagabine	myalgia	4
tiagabine	gingivitis	4
tiagabine	pain	4
tiagabine	salpingitis	3
tiagabine	bursitis	3
tiagabine	urinary retention	3
tiagabine	weight increased	4
tiagabine	tinnitus	4
tiagabine	arthropathy	3
tiagabine	coma	3
tiagabine	mental disability	4
tiagabine	hyperlipidaemia	3
tiagabine	hepatomegaly	3
tiagabine	hyperkinesia	4
tiagabine	cystitis	3
tiagabine	increased appetite	4
tiagabine	ear pain	4
tiagabine	nocturia	3
tiagabine	dehydration	3
tiagabine	dermatitis bullous	3
tiagabine	phlebitis	3
tiagabine	haematuria	3
tiagabine	pelvic pain	3
tiagabine	paralysis	3
tiagabine	electrocardiogram abnormal	3
tiagabine	paraesthesia oral	3
tiagabine	dysgeusia	3
tiagabine	dysmenorrhoea	4
tiagabine	hypertension	4
tiagabine	abnormal faeces	3
tiagabine	vertigo	4
tiagabine	otitis media	4
tiagabine	apathy	3
tiagabine	influenza	4
tiagabine	ill-defined disorder	4
tiagabine	hernia	3
tiagabine	hyperhidrosis	4
tiagabine	urethritis	3
tiagabine	vomiting	4
tiagabine	stupor	4
tiagabine	oesophagitis	3
tiagabine	haemoglobin	3
tiagabine	weight decreased	4
tiagabine	cellulitis	3
tiagabine	ageusia	3
tiagabine	skin ulcer	3
tiagabine	urinary tract infection	4
tiagabine	sudden death	3
tiagabine	vasodilation procedure	4
tiagabine	pyelonephritis	3
tiagabine	cerebral ischaemia	3
tiagabine	tooth abscess	3
tiagabine	apnoea	4
tiagabine	fibrocystic breast disease	3
tiagabine	neuropathy peripheral	3
tiagabine	dermatitis contact	3
tiagabine	gastritis	3
tiagabine	paranoia	4
tiagabine	speech disorder	4
tiagabine	goitre	3
tiagabine	dizziness	5
tiagabine	thrombocytopenia	3
tiagabine	hypoaesthesia	4
tiagabine	nuchal rigidity	3
tiagabine	asthma	4
tiagabine	dysarthria	4
tiagabine	dysphagia	3
tiagabine	sepsis	3
tiagabine	muscle relaxant therapy	4
tiagabine	affect lability	4
tiagabine	skin mass	3
tiagabine	dental caries	3
tiagabine	agitation	4
tiagabine	eczema	3
tiagabine	migraine	4
tiagabine	hyperventilation	4
tiagabine	muscular weakness	4
tiagabine	breast enlargement	3
tiagabine	urine output increased	3
tiagabine	deafness	3
tiagabine	dry mouth	3
tiagabine	myoclonus	4
tiagabine	orthostatic hypotension	3
tiagabine	hyperreflexia	3
tiagabine	suicide attempt	3
tiagabine	disturbance in sexual arousal	3
tiagabine	hypothyroidism	3
tiagabine	nervousness	5
tiagabine	muscle spasms	3
tiagabine	nausea	5
tiagabine	shock	4
tiagabine	neck pain	4
tiagabine	dermatitis exfoliative	3
tiagabine	depression	4
tiagabine	tremor	5
tiagabine	face oedema	3
tiagabine	psoriasis	3
tiagabine	infection	5
tiagabine	cystitis noninfective	3
tiagabine	hypertonia	4
tiagabine	urethritis noninfective	3
tiagabine	angina pectoris	3
tiagabine	tension	5
tiagabine	discomfort	4
tiagabine	thrombophlebitis	3
tiagabine	arthralgia	4
tiagabine	acute coronary syndrome	3
tiagabine	hyperglycaemia	3
tiagabine	gastrointestinal pain	4
tiagabine	salivary hypersecretion	3
tiagabine	chills	4
tiagabine	muscle twitching	4
tiagabine	melaena	3
tiagabine	hypokalaemia	3
tiagabine	vaginal haemorrhage	3
tiagabine	anaemia	3
tiagabine	alopecia	4
tiagabine	hypercholesterolaemia	3
tiagabine	hemiplegia	3
tiagabine	stomatitis	4
tiagabine	pallor	3
tiagabine	euphoric mood	4
tiagabine	rash maculo-papular	3
tiagabine	cholecystitis	3
tiagabine	amenorrhoea	3
tiagabine	rash	4
tiagabine	malaise	4
tiagabine	abdominal pain	4
tiagabine	bladder pain	3
tiagabine	eye pain	3
tiagabine	blepharitis	3
tiagabine	petechiae	3
tiagabine	dysuria	4
tiagabine	oedema peripheral	4
tiagabine	haemorrhage	3
tiagabine	mood swings	4
tiagabine	micturition urgency	3
tiagabine	hypotension	3
tiagabine	eructation	3
tiagabine	photosensitivity reaction	3
tiagabine	delusion	3
tiagabine	liver function test abnormal	3
tiagabine	ataxia	4
tiagabine	libido increased	3
tiagabine	mouth ulceration	4
tiagabine	erectile dysfunction	3
tiagabine	musculoskeletal discomfort	4
tiagabine	libido decreased	3
tiagabine	epistaxis	4
tiagabine	neurosis	3
tiagabine	pruritus	4
tiagabine	hirsutism	3
tiagabine	visual impairment	4
guanfacine	asthenia	4
guanfacine	decreased appetite	4
guanfacine	somnolence	5
guanfacine	constipation	4
guanfacine	diarrhoea	4
guanfacine	insomnia	4
guanfacine	lethargy	4
guanfacine	bradycardia	4
guanfacine	headache	5
guanfacine	dizziness	4
guanfacine	affect lability	4
guanfacine	dry mouth	5
guanfacine	nausea	4
guanfacine	fatigue	4
guanfacine	irritability	4
guanfacine	gastrointestinal pain	5
guanfacine	abdominal pain	5
guanfacine	hypotension	4
sevelamer	asthenia	4
sevelamer	decreased appetite	4
sevelamer	constipation	4
sevelamer	flatulence	4
sevelamer	diarrhoea	5
sevelamer	abdominal distension	4
sevelamer	vomiting	5
sevelamer	peritonitis	4
sevelamer	nausea	4
sevelamer	fatigue	4
sevelamer	arthralgia	4
sevelamer	gastrointestinal pain	4
sevelamer	dyspepsia	5
sevelamer	abdominal pain	4
sevelamer	musculoskeletal discomfort	4
sevelamer	pruritus	4
sufentanil	miosis	4
sufentanil	urinary incontinence	4
sufentanil	hypertension	4
sufentanil	injection site pain	4
sufentanil	bradycardia	4
sufentanil	body temperature increased	4
sufentanil	dizziness	4
sufentanil	chills	4
sufentanil	euphoric mood	4
sufentanil	hypotension	4
sufentanil	pruritus	5
sufentanil	muscle rigidity	4
cisatracurium	dermatitis	3
cisatracurium	bronchospasm	3
cisatracurium	bradycardia	3
cisatracurium	flushing	3
cisatracurium	rash	3
cisatracurium	hypotension	3
cefixime	diarrhoea	5
cefixime	nausea	4
cefixime	gastrointestinal pain	4
cefixime	dyspepsia	4
cefixime	abdominal pain	4
terconazole	pain	4
terconazole	headache	5
terconazole	body temperature increased	4
terconazole	vulvovaginal pruritus	3
terconazole	chills	3
terconazole	pruritus	4
rifabutin	chromaturia	5
rifabutin	leukopenia	5
rifabutin	flatulence	4
rifabutin	myalgia	4
rifabutin	dysgeusia	4
rifabutin	vomiting	4
rifabutin	body temperature increased	4
rifabutin	thrombocytopenia	4
rifabutin	nausea	4
rifabutin	gastrointestinal pain	4
rifabutin	dyspepsia	4
rifabutin	abdominal pain	4
rifabutin	eructation	4
rifabutin	musculoskeletal discomfort	4
octreotide	glucose tolerance impaired	4
octreotide	decreased appetite	4
octreotide	hypoglycaemia	4
octreotide	dermatitis	4
octreotide	cholelithiasis	5
octreotide	flatulence	4
octreotide	diarrhoea	4
octreotide	tachycardia	3
octreotide	dyspnoea	4
octreotide	abdominal distension	4
octreotide	pain	5
octreotide	transaminases increased	4
octreotide	dehydration	3
octreotide	vomiting	4
octreotide	bradycardia	4
octreotide	headache	5
octreotide	dizziness	4
octreotide	hypothyroidism	4
octreotide	hyperglycaemia	5
octreotide	alopecia	4
octreotide	cholecystitis	4
octreotide	rash	4
octreotide	dyspepsia	4
octreotide	hyperbilirubinaemia	4
octreotide	pruritus	4
octreotide	thyroid disorder	4
fexofenadine	asthenia	4
fexofenadine	viral infection	4
fexofenadine	somnolence	4
fexofenadine	dry eye	3
fexofenadine	diarrhoea	4
fexofenadine	insomnia	4
fexofenadine	cough	4
fexofenadine	myalgia	4
fexofenadine	pain	4
fexofenadine	upper respiratory tract infection	4
fexofenadine	dysmenorrhoea	4
fexofenadine	otitis media	4
fexofenadine	injury	4
fexofenadine	pain in extremity	4
fexofenadine	dizziness	4
fexofenadine	abdominal discomfort	4
fexofenadine	back pain	4
fexofenadine	rhinorrhoea	4
fexofenadine	fatigue	4
fexofenadine	musculoskeletal discomfort	4
fexofenadine	epistaxis	3
thiotepa	asthenia	4
thiotepa	decreased appetite	4
thiotepa	skin hyperpigmentation	4
thiotepa	dermatitis	4
thiotepa	urticaria	4
thiotepa	hypersensitivity	4
thiotepa	urinary retention	4
thiotepa	conjunctivitis	4
thiotepa	vomiting	4
thiotepa	headache	4
thiotepa	body temperature increased	4
thiotepa	dizziness	4
thiotepa	fatigue	4
thiotepa	alopecia	4
thiotepa	amenorrhoea	4
thiotepa	rash	4
thiotepa	pruritus	4
rasburicase	constipation	5
rasburicase	anxiety	5
rasburicase	dermatitis	4
rasburicase	hypophosphataemia	4
rasburicase	bronchospasm	4
rasburicase	rhinitis	3
rasburicase	laryngeal pain	4
rasburicase	diarrhoea	5
rasburicase	hypersensitivity	4
rasburicase	alanine aminotransferase increased	4
rasburicase	vomiting	5
rasburicase	headache	5
rasburicase	anaphylactic shock	3
rasburicase	mucosal inflammation	5
rasburicase	body temperature increased	5
rasburicase	hyperphosphataemia	4
rasburicase	sepsis	4
rasburicase	fluid overload	4
rasburicase	nausea	5
rasburicase	gastrointestinal pain	5
rasburicase	rash	4
rasburicase	abdominal pain	5
rasburicase	oedema peripheral	4
rasburicase	hypotension	4
rasburicase	hyperbilirubinaemia	4
fentanyl	asthenia	3
fentanyl	decreased appetite	3
fentanyl	gait disturbance	4
fentanyl	somnolence	3
fentanyl	depressed level of consciousness	4
fentanyl	paraesthesia	3
fentanyl	constipation	3
fentanyl	feeling abnormal	3
fentanyl	anxiety	3
fentanyl	pneumonia	4
fentanyl	hallucination	3
fentanyl	dermatitis	3
fentanyl	erythema	3
fentanyl	connective tissue disorder	4
fentanyl	malnutrition	4
fentanyl	abnormal dreams	3
fentanyl	diarrhoea	3
fentanyl	tachycardia	1
fentanyl	immune system disorder	4
fentanyl	palpitations	4
fentanyl	dyspnoea	4
fentanyl	hypersensitivity	4
fentanyl	insomnia	3
fentanyl	confusional state	3
fentanyl	anaphylactoid reaction	1
fentanyl	skin disorder	4
fentanyl	cough	4
fentanyl	neutropenia	4
fentanyl	urinary retention	3
fentanyl	mediastinal disorder	4
fentanyl	mental disability	4
fentanyl	respiratory distress	1
fentanyl	dehydration	5
fentanyl	sexual dysfunction	1
fentanyl	dysgeusia	4
